TYPE,COUNTRY,DAT_PREFIX,INCLUDE_CC,
AR_CUIT_CD,AR,T,FALSE,
BA_PIB_CD,BA,T,FALSE,
BE_OND_CD,BE,B,FALSE,
BG_VAT_CD,BG,T,TRUE,
BR_CNPJ_CD,BR,T,FALSE,
BZ_TIN_CD,BZ,T,FALSE,
CA_BN_CD,CA,T,FALSE,
CH_UID_CD,CH,T,TRUE,
CL_RUT_CD,CL,T,FALSE,
CN_CC_CD,CN,T,FALSE,
CO_NIT_CD,CO,T,FALSE,
CY_VAT_CD,CY,T,FALSE,
CY_TIC_CD,CY,T,FALSE,
DE_VAT_CD,DE,T,FALSE,
DE_TAX_CD,DE,T,FALSE,
DK_SE_CD,DK,T,FALSE,
EC_RUC_CD,EC,T,FALSE,
GEN_TAX_CD,extra-EU,T,FALSE,
GEN_VAT_CD,extra-EU,T,FALSE,
FI_ALV_CD,FI,T,TRUE,
FI_Y_CD,FI,B,FALSE,
FR_SIREN_CD,FR,B,FALSE,
GB_UTR_CD,GB,T,FALSE,
GB_VAT_CD,GB,T,TRUE,
GR_AFM_CD,GR,T,FALSE,
HR_OIB_CD,HR,T,FALSE,
HU_KOZ_CD,HU,T,TRUE,
HU_TOR_CD,HU,T,FALSE,
ID_NPWP_CD,ID,T,FALSE,
IE_VAT_CD,IE,T,TRUE,
IL_TAX_CD,IL,T,FALSE,
IM_TAX_CD,IM,T,FALSE,
IN_PAN_CD,IN,T,FALSE,
IT_CF_CD,IT,T,FALSE,
JE_TAX_CD,JE,T,FALSE,
LU_VAT_CD,LU,T,FALSE,
LV_VAT_CD,LV,T,TRUE,
MT_VAT_CD,MT,T,FALSE,
MX_RFC_CD,MX,T,FALSE,
PA_RUC_CD,PA,T,FALSE,
PE_RUC_CD,PE,T,FALSE,
PL_NIP_CD,PL,T,FALSE,
PL_VAT_CD,PL,T,TRUE,
PT_NIF_CD,PT,T,FALSE,
RO_TAX_CD,RO,T,TRUE,
RS_PIB_CD,RS,T,FALSE,
RU_INN_CD,RU,T,FALSE,
SE_MOM_CD,SE,T,TRUE,
SG_ROB_CD,SG,T,FALSE,
SI_DAV_CD,SI,T,FALSE,
SI_DDV_CD,SI,T,TRUE,
SM_COE_CD,SM,T,TRUE,
TR_VKN_CD,TR,T,FALSE,
TW_TAX_CD,TW,T,FALSE,
US_EIN_CD,US,T,FALSE,
UY_RUT_CD,UY,T,FALSE,
LEI,ΧΧ,L,FALSE,
AT_FB_CD,AT,B,FALSE,
AU_ABN_CD,AU,B,FALSE,
AU_ACN_CD,AU,B,FALSE,
BS_NBR_CD,BS,B,FALSE,
CH_ID_CD,CH,B,TRUE,
CH_NUMMER,CH,B,TRUE,
CZ_ICO_CD,CZ,B,FALSE,
DE_TRD_RGSTR_CD,DE,B,FALSE,
DK_CVR_CD,DK,B,FALSE,
GEN_NBR_ENTTY_CD,extra-EU,B,FALSE,
GB_CRN_CD,GB,B,FALSE,
GG_RN_CD,GG,B,FALSE,
HR_MB_CD,HR,B,FALSE,
KR_TIN_CD,KR,B,FALSE,
LT_JAR_CD,LT,B,FALSE,
MT_CNUM_CD,MT,B,FALSE,
NC_NBR_CD,NC,B,FALSE,
NL_KVK_CD,NL,B,FALSE,
NO_NBR_CD,NO,B,FALSE,
PL_KRS_CD,PL,B,FALSE,
PL_REGON_CD,PL,B,FALSE,
SE_ORG_CD,SE,B,FALSE,
SI_MAT_CD,SI,B,FALSE,
TH_NBR_CD,TH,B,FALSE,
US_DSFN_CD,US,B,FALSE,
